systemID,systemName,x,y,2271,2317,2319,2341,2366,2571,2596,2750,2765,2767,2772,2773,2774,2783,2786,2821,2822,2830,2864,3025,3030,3040,3049,3050a,3050b,3050c,3051,3052,3057,3058,3059a,3059b,3059c,3059d,3063,3067,3068,3075,3079,3081,3085,3095,3130,3135,3145,3151,3152
11,Abramkovo,-330.860,-28.739,U,U,U,U,U,U,U,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Alarion Province,LC|Protectorate of Donegal|Bolan Province,FCL|Tamarind March|Bolan Operational Area|Region 2,FCL|Tamarind March|Bolan Operational Area|Region 2,FCL|Tamarind March|Bolan Operational Area|Region 2,FCL|Tamarind March|Bolan Operational Area|Region 2,FCL|Tamarind March|Bolan Operational Area|Region 2,FCL|Tamarind March|Bolan Operational Area|Region 2,FCL|Tamarind March|Bolan Operational Area|Region 2,LA|Tamarind March|Bolan Operational Area|Region 2,LA|Bolan Province|Cavanaugh Theater,LA|Bolan Province|Cavanaugh Theater,LA|Bolan Province|Cavanaugh Theater,LA|Bolan Province|Cavanaugh Theater,LA|Bolan Province|Cavanaugh Theater,LA|Bolan Province|Cavanaugh Theater,LA|Bolan Province|Cavanaugh Theater,LA|Bolan Province|Dixie Theater,LA|Bolan Province|Dixie Theater,LA|Bolan Province|Dixie Theater,LA|Bolan Province|Dixie Theater,LC|Bolan Province|Dixie Theater,LC|Bolan Province|Dixie Theater,LC|Bolan Province|Cavanaugh Theater,LC|Bolan Province|Cavanaugh Theater,LC|Timbuktu Theater,FWL|Duchy of Tammarind-Abbey,FWL|Duchy of Tammarind-Abbey
12,Abruzzi,149.392,-304.327,U,U,U,U,U,U,U,CC|St. Ives Commonality|Region 6,CC|St. Ives Commonality|Region 6,CC|St. Ives Commonality|Region 6,CC|St. Ives Commonality|Region 6,CC|St. Ives Commonality|Region 6,CC|St. Ives Commonality|Region 6,CC|St. Ives Commonality|Region 6,CC|St. Ives Commonality|Region 6,CC|St. Ives Commonality|Region 6,CC|St. Ives Commonality|Region 6,CC|St. Ives Commonality|Region 6,FS|Capellan March|Taygeta Operational Area|Region 1,FS|Capellan March|Taygeta Operational Area|Sirdar PDZ,FS|Capellan March|Taygeta Operational Area|Sirdar PDZ,FCF|Capellan March|Taygeta Operational Area|Sirdar PDZ,FCF|Capellan March|Taygeta Operational Area|Sirdar PDZ,FCF|Capellan March|Taygeta Operational Area|Sirdar PDZ,FCF|Capellan March|Taygeta Operational Area|Sirdar PDZ,FCF|Capellan March|Taygeta Operational Area|Sirdar PDZ,FCF|Capellan March|Taygeta Operational Area|Sirdar PDZ,FCF|Capellan March|Taygeta Operational Area|Sirdar PDZ,FCF|Capellan March|Taygeta Operational Area|Sirdar PDZ,FCF|Capellan March|Taygeta Operational Area|Sirdar PDZ,FCF|Capellan March|Taygeta Operational Area|Sirdar PDZ,FCF|Capellan March|Taygeta Operational Area|Sirdar PDZ,FCF|Capellan March|Taygeta Operational Area|Sirdar PDZ,FCF|Capellan March|Taygeta Operational Area|Sirdar PDZ,FCF|Capellan March|Taygeta Operational Area|Sirdar PDZ,FS|Capellan March|Taygeta Operational Area|Sirdar PDZ,FS|Capellan March|Taygeta Operational Area|Sirdar PDZ,FS|Capellan March|Taygeta Operational Area|Sirdar PDZ,FS|Capellan March|Taygeta Operational Area|Sirdar PDZ,FS|Capellan March|Taygeta Operational Area|Sirdar PDZ,FS|Capellan March|Taygeta Operational Area|Sirdar PDZ,FS|Capellan March|Taygeta Operational Area|Sirdar PDZ,FS|Capellan March|Taygeta Operational Area|Sirdar PDZ,FS|Capellan March|Taygeta Operational Area|Sirdar PDZ,FS|Capellan March|Sirdar Operational Area|Sirdar PDZ,FS|Capellan March|Taygeta Operational Area|Sirdar PDZ,FS|Capellan March|Taygeta Operational Area|Sirdar PDZ
13,Abushiri,-267.585,326.475,U,U,U,U,U,U,U,RW|Apollo Province,RW|Apollo Province,RW|Apollo Province,RW|Apollo Province,RW|Apollo Province,RW|Apollo Province,LC|Protectorate of Donegal|Coventry Province,LC|Protectorate of Donegal|Coventry Province,LC|Protectorate of Donegal|Coventry Province,LC|Protectorate of Donegal|Coventry Province,LC|Protectorate of Donegal|Coventry Province,LC|Protectorate of Donegal|Coventry Province,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
14,Acala,134.156,-124.340,U,I,I,I,FS,CC|Sarna Commonality|Region 7,CC|Sarna Commonality|Region 7,CC|Sarna Commonality|Region 7,CC|Sarna Commonality|Region 7,CC|Sarna Commonality|Region 7,CC|Sarna Commonality|Region 7,CC|Sarna Commonality|Region 7,CC|Sarna Commonality|Region 7,CC|Sarna Commonality|Region 7,CC|Sarna Commonality|Region 7,CC|Sarna Commonality|Region 7,CC|Sarna Commonality|Region 7,CC|Sarna Commonality|Region 7,FS|Capellan March|Kathil Operational Area|Region 1,FS|Capellan March|Kathil Operational Area|Valexa PDZ,FS|Capellan March|Kathil Operational Area|Valexa PDZ,FCF|Capellan March|Kathil Operational Area|Valexa PDZ,FCF|Capellan March|Kathil Operational Area|Valexa PDZ,FCF|Capellan March|Kathil Operational Area|Valexa PDZ,FCF|Capellan March|Kathil Operational Area|Valexa PDZ,FCF|Capellan March|Kathil Operational Area|Valexa PDZ,FCF|Capellan March|Kathil Operational Area|Valexa PDZ,FCF|Capellan March|Kathil Operational Area|Valexa PDZ,FCF|Capellan March|Kathil Operational Area|Valexa PDZ,FCF|Capellan March|Kathil Operational Area|Valexa PDZ,FCF|Capellan March|Kathil Operational Area|Valexa PDZ,FCF|Capellan March|Kathil Operational Area|Valexa PDZ,FCF|Capellan March|Kathil Operational Area|Valexa PDZ,FCF|Capellan March|Kathil Operational Area|Valexa PDZ,FCF|Capellan March|Kathil Operational Area|Valexa PDZ,FS|Capellan March|Kathil Operational Area|Valexa PDZ,FS|Capellan March|Kathil Operational Area|Valexa PDZ,FS|Capellan March|Kathil Operational Area|Valexa PDZ,FS|Capellan March|Kathil Operational Area|Valexa PDZ,FS|Capellan March|Kathil Operational Area|Valexa PDZ,FS|Capellan March|Kathil Operational Area|Valexa PDZ,FS|Capellan March|Kathil Operational Area|Valexa PDZ,FS|Capellan March|Kathil Operational Area|Alcyone PDZ,FS|Capellan March|Kathil Operational Area|Alcyone PDZ,FS|Capellan March|Kathil Operational Area|Alcyone PDZ,FS|Capellan March|Kathil Operational Area|Alcyone PDZ,FS|Capellan March|Kathil Operational Area|Alcyone PDZ
15,Acamar,39.543,-38.565,I,I,I,TH,TH,TH|Terra Firma Province,TH|Terra Firma Province,TH|Terra Firma Province,TH|Terra Firma Province,AE|Terra Firma Province,SL,SL,SL,TH|Terra Firma Province,TH|Brownsville Province,CC|Tikonov Commonality|Region 3,CC|Tikonov Commonality|Region 3,CC|Tikonov Commonality|Region 3,CC|Tikonov Commonality|Region 3,CC|Tikonov Commonality|Region 5,TFR,FCL|Sarna March|Terra Firma Operational Area|Region 2,FCL|Sarna March|Terra Firma Operational Area|Region 2,FCL|Sarna March|Terra Firma Operational Area|Region 2,FCL|Sarna March|Terra Firma Operational Area|Region 2,FCL|Sarna March|Terra Firma Operational Area|Region 2,FCL|Sarna March|Terra Firma Operational Area|Region 2,FCL|Sarna March|Terra Firma Operational Area|Region 2,I,I,I,I,I,I,I,FS|Capellan March|Kathil Operational Area|Region 1,WB,WB,CoF,RS|Prefecture V,RS|Prefecture V,RS|Prefecture V,RS|Prefecture V,I,CC|Tikonov Commonality|Region 1,CC|Tikonov Commonality|Region 6,CC|Tikonov Commonality|Region 6
16,Accrington,-10.088,144.968,U,U,FoS,FoS,LC|Federation of Skye,LC|Federation of Skye|Kannon Shire,LC|Federation of Skye|Kannon Shire,LC|Federation of Skye|Kannon Shire,LC|Federation of Skye|Kannon Shire,LC|Federation of Skye|Kannon Shire,LC|Federation of Skye|Kannon Shire,LC|Federation of Skye|Kannon Shire,LC|Federation of Skye|Kannon Shire,LC|Federation of Skye|Kannon Shire,LC|Federation of Skye|Kannon Shire,LC|Federation of Skye|Kannon Shire,LC|Federation of Skye|Kannon Shire,LC|Federation of Skye|Kannon Shire,LC|Federation of Skye|Kannon Shire,LC|Federation of Skye|Virginia Shire,LC|Federation of Skye|Virginia Shire,FCL|Skye March|Ryde Operational Area|Region 1,FCL|Skye March|Ryde Operational Area|Region 1,FCL|Skye March|Ryde Operational Area|Region 1,FCL|Skye March|Ryde Operational Area|Region 1,FCL|Skye March|Ryde Operational Area|Region 1,FCL|Skye March|Ryde Operational Area|Region 1,FCL|Skye March|Ryde Operational Area|Region 1,LA|Skye March|Ryde Operational Area|Region 1,LA|Skye Province|Freedom Theater,LA|Skye Province|Freedom Theater,LA|Skye Province|Freedom Theater,LA|Skye Province|Freedom Theater,LA|Skye Province|Freedom Theater,LA|Skye Province|Freedom Theater,LA|Skye Province|Freedom Theater,LA|Skye Province|Freedom Theater,LA|Skye Province|Freedom Theater,LA|Skye Province|Freedom Theater,LA|Arc-Royal Theater,LC|Arc-Royal Theater,LC|Arc-Royal Theater,LC|Donegal Province,LC|Donegal Province,RD|Region 3,RD|Region 3,RD|Region 3
17,Achilles,44.858,-132.111,U,U,U,U,U,U,U,CC|Sarna Commonality|Region 4,CC|Sarna Commonality|Region 4,CC|Sarna Commonality|Region 4,CC|Sarna Commonality|Region 4,CC|Sarna Commonality|Region 4,CC|Sarna Commonality|Region 4,CC|Sarna Commonality|Region 4,CC|Sarna Commonality|Region 4,CC|Sarna Commonality|Region 4,CC|Sarna Commonality|Region 4,CC|Sarna Commonality|Region 4,CC|Sarna Commonality|Region 4,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
18,Achnoly,638.819,199.142,U,U,U,U,U,U,U,OA|Onverwacht Province,OA|Onverwacht Province,OA|Onverwacht Province,OA|Onverwacht Province,OA|Onverwacht Province,OA|Onverwacht Province,OA|Onverwacht Province,OA|Onverwacht Province,OA|Onverwacht Province,OA|Onverwacht Province,OA|Onverwacht Province,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
19,Achton,632.323,190.916,U,U,U,U,U,U,U,OA|Onverwacht Province,OA|Onverwacht Province,OA|Onverwacht Province,OA|Onverwacht Province,OA|Onverwacht Province,OA|Onverwacht Province,OA|Onverwacht Province,OA|Onverwacht Province,OA|Onverwacht Province,OA|Onverwacht Province,OA|Onverwacht Province,OA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
20,Acoma,224.416,-62.259,U,U,U,U,U,U,U,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,FS|Crucis March|Markesan Operational Area|Region 1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
21,Aconcagua,-275.030,-189.625,I,I,I,I,I,FWL|Principality of Regulus,FWL|Principality of Regulus,FWL|Principality of Gibson,FWL|Principality of Gibson,FWL|Principality of Gibson,FWL|Principality of Gibson,FWL|Principality of Gibson,FWL|Principality of Gibson,FWL|Principality of Gibson,FWL|Principality of Gibson,FWL|Principality of Gibson,FWL|Principality of Gibson,FWL|Principality of Gibson,FWL|Principality of Gibson,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,FWL,I,I,I,I,I,FWL,FWL,FWL
